skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
Работа с транспортными компаниями,6364,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Электронный документооборот,6365,33500.0,43500.0,76100.0,0.002620595942929244,0,Data scientist,0.0007020828457758015,0.00021693318457914962,0.0001099928504647198,0.0003379748546708125,0.0
Знание устройства двигателя внутреннего сгорания,6366,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Организационная структура,6367,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Маршрутизация статическая,6368,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
DWH,6369,,,,0.010870620207706494,4,Big Data,0.0033699976597238476,0.0023242841204908888,0.003244789088709234,0.0005407597674733,0.00554016620498615
Online sales,6370,,,,9.705910899737941e-05,4,Big Data,4.6805523051720103e-05,0.0,0.0,0.0,0.0002518257365902795
Хорошие организаторские способности,6371,,,,0.00019411821799475881,2,Инженер данных,0.0,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
JVM,6372,,,,0.00019411821799475881,3,ML инженер,0.0,0.0,5.49964252323599e-05,6.75949709341625e-05,0.0
Анализ финансовых показателей,6373,54810.0,77500.0,115000.0,0.007570610501795593,1,Аналитик,0.00037444418441376083,0.002231312755671253,0.0001099928504647198,0.000135189941868325,0.0
Пооперационный пошив,6374,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
калибровка,6375,,,,0.00019411821799475881,2,Инженер данных,4.6805523051720103e-05,0.0,5.49964252323599e-05,0.0,0.0
Reporting,6376,,,,0.0006794137629816559,4,Big Data,0.00018722209220688041,0.00012396181975951408,5.49964252323599e-05,0.0,0.000503651473180559
Стратегия позиционирования HR бренда,6377,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Контроль SMM,6378,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Разбор техники,6379,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
