skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
Retail,1229,,,,0.0015015015015015015,2,Аналитик данных,0.0,0.0,0.0009126863401277761,0.0,0.0,0.0
Virtualization,1230,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
xa0— C1 — Продвинутый,1231,147900.0,234300.0,264221.0,0.02052052052052052,4,ML инженер,0.005944339367738449,0.00030950170225936243,0.0009126863401277761,0.001816860465116279,0.010540184453227932,0.005319148936170213
Jupiter,1232,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
PostgreSQL,1233,130000.0,200000.0,250000.0,0.05555555555555555,0,Инженер данных,0.01621183463928668,0.0012380068090374497,0.007909948281107393,0.00436046511627907,0.010540184453227932,0.0026595744680851063
Категорийный менеджмент,1234,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
Asana,1235,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
EDW,1236,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
ГОСТ,1237,,,,0.0025025025025025025,2,Аналитик данных,0.0002701972439881113,0.00030950170225936243,0.000608457560085184,0.0003633720930232558,0.0,0.0
продвижение в В2В,1238,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Google Big Query,1239,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
ASan,1240,,,,0.002002002002002002,0,Инженер данных,0.0010807889759524452,0.0,0.0,0.0,0.0,0.0
RDD,1241,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
go,1242,,,,0.0005005005005005005,4,ML инженер,0.0,0.0,0.0,0.0,0.0013175230566534915,0.0
Продвижение продукта,1243,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
БДДС,1244,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Gitlab CI,1245,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
Nest.js,1246,,,,0.0015015015015015015,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0003633720930232558,0.0,0.0
Ad Hoc Analysis,1247,,,,0.001001001001001001,3,Bi аналитик,0.0,0.0,0.000304228780042592,0.0003633720930232558,0.0,0.0
Локальные бренды,1248,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Подготовка отчетов,1249,,,,0.007007007007007007,1,Аналитик,0.0,0.0018570102135561746,0.0018253726802555522,0.0007267441860465116,0.0,0.0
Кредитный анализ,1250,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Коммуникация,1251,,,,0.002002002002002002,0,Инженер данных,0.0005403944879762226,0.00030950170225936243,0.000304228780042592,0.0,0.0,0.0
написание технической документации,1252,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
1С: Управление холдингом,1253,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
Dashboard,1254,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
FPGA,1255,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
