vacancy_id,query
76650807,['cloud computing']
76658376,['Artificial intelligence']
76658377,['Artificial intelligence']
76658378,['Artificial intelligence']
76660055,['Artificial intelligence']
76661088,['Artificial intelligence']
76661614,['аналитик данных']
76662865,['машинное обучение']
76663435,['data engineer']
76678627,['business analyst']
76679811,"['data', 'Artificial intelligence', 'Big Data']"
76693747,"['data scientist', 'аналитик данных', 'data analyst', 'data engineer', 'инженер данных', 'data']"
76711872,"['data engineer', 'data', 'Big Data']"
76714334,['business analyst']
76714647,"['business analyst', 'computer vision']"
76720546,['business analyst']
76722720,['специалист по данным']
76724265,['специалист по данным']
76725569,"['Artificial intelligence', 'Big Data']"
76725832,['business analyst']
76727479,['Artificial intelligence']
76729852,['машинное обучение']
76733136,['business analyst']
76734194,['business analyst']
76750879,"['data analyst', 'business analyst']"
76751592,['Artificial intelligence']
76756995,['Artificial intelligence']
76763226,['аналитик данных']
76766015,['специалист по данным']
76769565,['data']
76769566,['data']
76774692,['инженер данных']
76774988,['business analyst']
76775596,['data engineer']
76776257,['data']
76777409,['business analyst']
76779142,"['data science', 'machine learning', 'data engineer', 'data', 'Big Data', 'Machine Learning Engineer', 'Business Intelligence Developer']"
76779155,['Business Intelligence Developer']
76779203,['Artificial intelligence']
76779205,['Artificial intelligence']
76779274,['machine learning']
76781305,['аналитик данных']
76781715,['специалист по данным']
76782671,['аналитик данных']
76784959,"['data analyst', 'machine learning', 'машинное обучение', 'data']"
76794895,['business analyst']
76800936,['business analyst']
76805148,['инженер данных']
76808993,['машинное обучение']
76809097,['business analyst']
76814639,['business analyst']
76814725,['business analyst']
76816665,['business analyst']
76817178,"['data analyst', 'data']"
76826713,['специалист по данным']
76828184,['аналитик данных']
76828185,['аналитик данных']
76828324,['Advanced Analytics']
76829230,"['data scientist', 'data analyst', 'machine learning', 'Machine Learning Scientist']"
76840932,['машинное обучение']
76850417,['специалист по данным']
76850889,"['ML/DL', 'deep learning', 'NLP']"
76852377,['data science']
76854666,"['data', 'Big Data']"
76855349,['Business Intelligence Developer']
76855842,['data analyst']
76856693,['инженер данных']
76858609,['машинное обучение']
76861565,['инженер данных']
76867276,['инженер данных']
76867706,"['data science', 'data analyst', 'Data Architect', 'data']"
76870602,['Database Administrator']
76883367,['машинное обучение']
76888363,['специалист по данным']
76897717,['специалист по данным']
76897787,['специалист по данным']
76897816,['специалист по данным']
76897952,['business analyst']
76899183,"['data', 'Big Data']"
76901324,['аналитик данных']
76906969,['машинное обучение']
76908007,['business analyst']
76908070,['аналитик данных']
76915521,['business analyst']
76920555,['Artificial intelligence']
76924091,['машинное обучение']
76930898,"['data scientist', 'data science', 'data analyst', 'machine learning', 'data engineer', 'deep learning', 'Big Data', 'Machine Learning Scientist', 'Machine Learning Engineer']"
76934096,['data analyst']
76934120,['business analyst']
76936206,['Artificial intelligence']
76936797,"['data analyst', 'Big Data']"
76936855,['специалист по данным']
76937911,['Database Administrator']
76939968,['NLP']
76940812,['business analyst']
76940819,['Big Data']
76945697,['инженер данных']
76947185,['инженер данных']
76952064,"['data analyst', 'business analyst', 'data']"
76953260,['business analyst']
76957270,['Artificial intelligence']
76959978,['business analyst']
76962517,['Artificial intelligence']
76963684,['business analyst']
76965515,"['машинное обучение', 'инженер данных']"
76971042,['инженер данных']
76975666,['Advanced Analytics']
76983406,['инженер данных']
76993492,['аналитик данных']
77000754,"['data engineer', 'Data Architect', 'data']"
77013356,['business analyst']
77013703,['Artificial intelligence']
77017586,['business analyst']
77032262,['business analyst']
77032425,['Artificial intelligence']
77032693,['машинное обучение']
77034608,['business analyst']
77062680,['аналитик данных']
77064169,"['data engineer', 'инженер данных', 'data', 'Big Data']"
77068487,['business analyst']
77068663,['business analyst']
77070022,['инженер данных']
77072098,['Artificial intelligence']
77072102,['Artificial intelligence']
77073264,['data mining']
77075080,['машинное обучение']
77080585,"['data analyst', 'business analyst']"
77080599,"['data analyst', 'data engineer', 'data']"
77080624,"['data analyst', 'data']"
77082148,['business analyst']
77082518,['business analyst']
77082533,"['data analyst', 'data engineer']"
77085908,['специалист по данным']
77088739,['data engineer']
77091145,['Business Intelligence Developer']
77112612,['business analyst']
77118118,"['data science', 'data', 'Big Data']"
77124771,"['data', 'Big Data']"
77125315,['инженер данных']
77125911,['инженер данных']
77128750,['Artificial intelligence']
77130562,['аналитик данных']
77135434,['Artificial intelligence']
77136460,['машинное обучение']
77181469,"['data scientist', 'data analyst', 'data']"
77181504,['аналитик данных']
77186103,['data analyst']
77197661,['business analyst']
77199039,['business analyst']
77205712,['business analyst']
77207100,['business analyst']
77207875,"['data analyst', 'data']"
77215600,['business analyst']
77216776,['data']
77216797,['data']
77216808,['data']
77216833,['data']
77220184,['специалист по данным']
77220860,['business analyst']
77228211,['Business Intelligence Developer']
77228610,['инженер данных']
77228611,['инженер данных']
77228673,['инженер данных']
77229251,['business analyst']
77230665,['инженер данных']
77230666,['инженер данных']
77232297,"['data analyst', 'data']"
77234105,['Artificial intelligence']
77234808,['аналитик данных']
77235529,['аналитик данных']
77237180,['Artificial intelligence']
77242376,['аналитик данных']
77258546,"['аналитик данных', 'business analyst', 'Artificial intelligence']"
77270213,['аналитик данных']
77281551,['business analyst']
77281731,['инженер данных']
77296899,['машинное обучение']
77297515,"['машинное обучение', 'инженер данных']"
77299082,['business analyst']
77306666,['машинное обучение']
77309215,['Artificial intelligence']
77314877,"['data analyst', 'data mining', 'business analyst', 'data']"
77315449,['специалист по данным']
77316163,"['data scientist', 'data analyst', 'machine learning', 'data', 'Machine Learning Scientist']"
77318734,['data engineer']
77318804,['Artificial intelligence']
77319139,['business analyst']
77319774,"['аналитик данных', 'Artificial intelligence']"
77320634,"['data analyst', 'Data Architect']"
77320677,['business analyst']
77323474,['business analyst']
77327203,['business analyst']
77328989,['специалист по данным']
77329225,['специалист по данным']
77331120,['data analyst']
77333031,['аналитик данных']
77335819,['business analyst']
77335870,['инженер данных']
77335871,['инженер данных']
77341466,['business analyst']
77365870,"['аналитик данных', 'data analyst', 'data']"
77366600,['deep learning']
77366601,"['data', 'deep learning']"
77367978,['специалист по данным']
77382465,['business analyst']
77393537,"['data', 'Big Data']"
77399828,['машинное обучение']
77400656,['машинное обучение']
77406013,['data engineer']
77406354,"['data analyst', 'data']"
77408107,['аналитик данных']
77414205,['Big Data']
77416675,['машинное обучение']
77425208,"['data scientist', 'data science', 'data analyst', 'машинное обучение', 'data', 'Big Data']"
77425466,['Database Administrator']
77429449,['машинное обучение']
77430642,['business analyst']
77434808,"['Data Architect', 'data', 'Big Data']"
77434915,['машинное обучение']
